id,price,url,latitude,longitude,street,city,state,zipcode,neighborhood,bed,bath,year_built,size
50,763990,https://www.zillow.com/homedetails/10492-San-Diego-Mission-Rd-2-San-Diego-CA-92108/2077972788_zpid/,32.785756,-117.111237,10492 San Diego Mission Rd #2,San Diego,CA,92108,,4,4,2020,1853
51,1550000,https://www.zillow.com/homedetails/1049-Albion-St-San-Diego-CA-92106/17062999_zpid/,32.723309,-117.241243,1049 Albion St,San Diego,CA,92106,,3,3,1960,2100
52,1700000,https://www.zillow.com/homedetails/10504-Corte-Jardin-Del-Mar-San-Diego-CA-92130/54905665_zpid/,32.911192,-117.217856,10504 Corte Jardin Del Mar,San Diego,CA,92130,,4,4,2001,3000
53,869000,https://www.zillow.com/homedetails/10504-Feller-Cv-San-Diego-CA-92126/16789930_zpid/,32.908157,-117.157562,10504 Feller Cv,San Diego,CA,92126,,4,3,1985,2048
54,2998000,https://www.zillow.com/homedetails/1051-Myrtle-Way-San-Diego-CA-92103/16971592_zpid/,32.741914,-117.154168,1051 Myrtle Way,San Diego,CA,92103,,4,4,1930,4629
55,595000,https://www.zillow.com/homedetails/10523-Camino-Bello-Mar-UNIT-1-San-Diego-CA-92127/81963228_zpid/,33.02378,-117.110436,10523 Camino Bello Mar UNIT 1,San Diego,CA,92127,,2,2,2007,1356
56,580000,https://www.zillow.com/homedetails/10536-Calle-Tamarindo-UNIT-1-San-Diego-CA-92127/79572885_zpid/,33.023949,-117.110277,10536 Calle Tamarindo UNIT 1,San Diego,CA,92127,,2,2,2006,1356
57,535000,https://www.zillow.com/homedetails/1055-Donahue-St-UNIT-6-San-Diego-CA-92110/16941670_zpid/,32.765419,-117.188801,1055 Donahue St UNIT 6,San Diego,CA,92110,,2,2,1989,1259
58,379000,https://www.zillow.com/homedetails/1055-Madden-Ave-APT-C-San-Diego-CA-92154/17163857_zpid/,32.5775,-117.070937,1055 Madden Ave APT C,San Diego,CA,92154,,3,2,1991,1016
59,370000,https://www.zillow.com/homedetails/1061-Madden-Ave-San-Diego-CA-92154/2130857868_zpid/,32.577289,-117.070937,1061 Madden Ave,San Diego,CA,92154,,3,2,1991,1016
60,370000,https://www.zillow.com/homedetails/1061-Madden-Ave-San-Diego-CA-92154/2130857868_zpid/,32.577289,-117.070937,1061 Madden Ave,San Diego,CA,92154,,3,2,1991,1016
61,1199000,https://www.zillow.com/homedetails/10665-Canyon-Lake-Dr-San-Diego-CA-92131/16866626_zpid/,32.905614,-117.101475,10665 Canyon Lake Dr,San Diego,CA,92131,,5,3,1985,2802
62,985000,https://www.zillow.com/homedetails/10675-Red-Cedar-Dr-San-Diego-CA-92131/16867454_zpid/,32.910944,-117.099362,10675 Red Cedar Dr,San Diego,CA,92131,,4,3,1980,2791
63,699000,https://www.zillow.com/homedetails/10685-Wexford-St-UNIT-2-San-Diego-CA-92131/48180521_zpid/,32.938229,-117.097774,10685 Wexford St UNIT 2,San Diego,CA,92131,,3,3,2000,1524
64,289900,https://www.zillow.com/homedetails/10770-Black-Mountain-Rd-SPACE-265-San-Diego-CA-92126/82930307_zpid/,32.914914,-117.125793,10770 Black Mountain Rd SPACE 265,San Diego,CA,92126,,3,2,2020,1422
65,289900,https://www.zillow.com/homedetails/10771-Black-Mountain-Rd-SPACE-88-San-Diego-CA-92126/82945407_zpid/,32.915985,-117.123002,10771 Black Mountain Rd SPACE 88,San Diego,CA,92126,,2,2,2014,1500
66,690000,https://www.zillow.com/homedetails/1077-Parsons-Lndg-San-Diego-CA-92154/63479408_zpid/,32.578894,-117.018904,1077 Parsons Lndg,San Diego,CA,92154,,5,3,2005,2300
67,968992,https://www.zillow.com/homedetails/10787-Carmel-Gln-UNIT-58-San-Diego-CA-92130/102671483_zpid/,32.930121,-117.19951,10787 Carmel Gln UNIT 58,San Diego,CA,92130,,4,3,2010,2069
68,370000,https://www.zillow.com/homedetails/107-E-Plaza-Blvd-National-City-CA-91950/17096798_zpid/,32.674624,-117.105041,107 E Plaza Blvd,National City,CA,91950,,2,1,1935,770
69,334900,https://www.zillow.com/homedetails/1080-Park-Blvd-UNIT-1003-San-Diego-CA-92101/79975726_zpid/,32.716388,-117.154124,1080 Park Blvd UNIT 1003,San Diego,CA,92101,,0,1,2007,618
70,282000,https://www.zillow.com/homedetails/1080-Park-Blvd-UNIT-1005-San-Diego-CA-92101/79975728_zpid/,32.716388,-117.154124,1080 Park Blvd UNIT 1005,San Diego,CA,92101,,0,1,2007,466
71,495000,https://www.zillow.com/homedetails/1080-Park-Blvd-UNIT-1602-San-Diego-CA-92101/79975833_zpid/,32.716388,-117.154124,1080 Park Blvd UNIT 1602,San Diego,CA,92101,,2,2,2007,1029
72,499999,https://www.zillow.com/homedetails/1080-Park-Blvd-UNIT-307-San-Diego-CA-92101/79975607_zpid/,32.716388,-117.154124,1080 Park Blvd UNIT 307,San Diego,CA,92101,,2,2,2007,1037
73,365000,https://www.zillow.com/homedetails/1080-Park-Blvd-UNIT-417-San-Diego-CA-92101/79975634_zpid/,32.716388,-117.154124,1080 Park Blvd UNIT 417,San Diego,CA,92101,,1,1,2007,863
74,645000,https://www.zillow.com/homedetails/10814-Esmeraldas-Dr-San-Diego-CA-92124/16871511_zpid/,32.82624,-117.096211,10814 Esmeraldas Dr,San Diego,CA,92124,Tierrasanta,3,2,1973,1185
75,699000,https://www.zillow.com/homedetails/10848-Esmond-Ct-San-Diego-CA-92126/16789116_zpid/,32.916345,-117.148833,10848 Esmond Ct,San Diego,CA,92126,,3,2,1975,1446
76,718000,https://www.zillow.com/homedetails/10856-Ivy-Hill-Dr-UNIT-6-San-Diego-CA-92131/49815154_zpid/,32.937939,-117.096002,10856 Ivy Hill Dr UNIT 6,San Diego,CA,92131,,3,3,2000,1524
77,700000,https://www.zillow.com/homedetails/10904-Caminito-Arcada-San-Diego-CA-92131/16825434_zpid/,32.933618,-117.093573,10904 Caminito Arcada,San Diego,CA,92131,,3,3,1998,1269
78,689900,https://www.zillow.com/homedetails/10906-Jericho-Way-San-Diego-CA-92129/2077570858_zpid/,32.974899,-117.091,10906 Jericho Way,San Diego,CA,92129,,2,2,2020,1454
79,869000,https://www.zillow.com/homedetails/10908-Paseo-Montanoso-San-Diego-CA-92127/16798956_zpid/,32.9989,-117.093302,10908 Paseo Montanoso,San Diego,CA,92127,,4,3,1989,1931
80,495000,https://www.zillow.com/homedetails/10940-Ivy-Hill-Dr-UNIT-6-San-Diego-CA-92131/16823775_zpid/,32.937382,-117.093285,10940 Ivy Hill Dr UNIT 6,San Diego,CA,92131,,2,2,1998,946
81,748630,https://www.zillow.com/homedetails/10964-Ivy-Hill-Dr-UNIT-5-San-Diego-CA-92131/52513325_zpid/,32.937196,-117.092618,10964 Ivy Hill Dr UNIT 5,San Diego,CA,92131,,3,3,1999,1568
82,359900,https://www.zillow.com/homedetails/11018-Via-Parma-San-Diego-CA-92129/16794717_zpid/,32.967675,-117.097678,11018 Via Parma,San Diego,CA,92129,,2,1,1971,810
83,865000,https://www.zillow.com/homedetails/11052-Avenida-De-Los-Lobos-San-Diego-CA-92127/16798941_zpid/,32.999035,-117.093976,11052 Avenida De Los Lobos,San Diego,CA,92127,,4,3,1989,1931
84,1249000,https://www.zillow.com/homedetails/11065-Watkins-Ct-San-Diego-CA-92131/16824367_zpid/,32.931139,-117.091049,11065 Watkins Ct,San Diego,CA,92131,,5,3,1996,2715
85,506000,https://www.zillow.com/homedetails/11074-Portobelo-Dr-San-Diego-CA-92124/16873739_zpid/,32.841036,-117.08804,11074 Portobelo Dr,San Diego,CA,92124,,2,2,1990,1090
86,544000,https://www.zillow.com/homedetails/11108-Portobelo-Dr-San-Diego-CA-92124/16873805_zpid/,32.84182,-117.085765,11108 Portobelo Dr,San Diego,CA,92124,,2,2,1991,1226
87,1495000,https://www.zillow.com/homedetails/1110-Oliver-Ave-San-Diego-CA-92109/16920744_zpid/,32.793356,-117.248294,1110 Oliver Ave,San Diego,CA,92109,,4,4,2002,2006
88,519900,https://www.zillow.com/homedetails/11144-Portobelo-Dr-San-Diego-CA-92124/16873785_zpid/,32.84182,-117.085765,11144 Portobelo Dr,San Diego,CA,92124,,2,2,1991,1068
89,810000,https://www.zillow.com/homedetails/1116-Washington-Pl-San-Diego-CA-92103/16953030_zpid/,32.750084,-117.173729,1116 Washington Pl,San Diego,CA,92103,,2,2,1930,1064
90,310000,https://www.zillow.com/homedetails/11189-Kelowna-Rd-APT-51-San-Diego-CA-92126/16781963_zpid/,32.926792,-117.140266,11189 Kelowna Rd APT 51,San Diego,CA,92126,,2,1,1978,698
91,764900,https://www.zillow.com/homedetails/11214-Linares-St-San-Diego-CA-92129/16795039_zpid/,32.992431,-117.094278,11214 Linares St,San Diego,CA,92129,,4,3,1973,1667
92,537500,https://www.zillow.com/homedetails/11228-Portobelo-Dr-San-Diego-CA-92124/52514760_zpid/,32.84259,-117.083901,11228 Portobelo Dr,San Diego,CA,92124,,2,2,1991,1090
93,477000,https://www.zillow.com/homedetails/11255-Affinity-Ct-UNIT-100-San-Diego-CA-92131/16823376_zpid/,32.923211,-117.111631,11255 Affinity Ct UNIT 100,San Diego,CA,92131,,2,2,1993,1032
94,529000,https://www.zillow.com/homedetails/11257-Provencal-Pl-San-Diego-CA-92128/16800014_zpid/,32.966603,-117.089204,11257 Provencal Pl,San Diego,CA,92128,,2,2,1994,1150
95,748800,https://www.zillow.com/homedetails/11258-Squamish-Rd-San-Diego-CA-92126/16817815_zpid/,32.927554,-117.135072,11258 Squamish Rd,San Diego,CA,92126,,4,3,1972,2138
96,480000,https://www.zillow.com/homedetails/11275-Affinity-Ct-UNIT-118-San-Diego-CA-92131/16823355_zpid/,32.924242,-117.110739,11275 Affinity Ct UNIT 118,San Diego,CA,92131,,2,2,1993,1032
97,964900,https://www.zillow.com/homedetails/11325-Miro-Cir-San-Diego-CA-92131/55632480_zpid/,32.920116,-117.108729,11325 Miro Cir,San Diego,CA,92131,Scripps Ranch Ravel,3,3,2003,2255
98,789000,https://www.zillow.com/homedetails/11335-Copperleaf-Ln-San-Diego-CA-92124/119920922_zpid/,32.811224,-117.082843,11335 Copperleaf Ln,San Diego,CA,92124,,3,3,2013,1762
99,525000,https://www.zillow.com/homedetails/11354-Matinal-Cir-San-Diego-CA-92127/16740694_zpid/,33.030638,-117.08424,11354 Matinal Cir,San Diego,CA,92127,,3,3,1973,1240
100,495000,https://www.zillow.com/homedetails/1137-Eureka-St-APT-1-San-Diego-CA-92110/16941587_zpid/,32.767147,-117.188473,1137 Eureka St APT 1,San Diego,CA,92110,,2,2,1979,1162
101,320000,https://www.zillow.com/homedetails/1137-S-41st-St-UNIT-22-San-Diego-CA-92113/62578158_zpid/,32.694685,-117.105837,1137 S 41st St UNIT 22,San Diego,CA,92113,,3,2,1980,1240
102,1140000,https://www.zillow.com/homedetails/11468-Alcalde-Ct-San-Diego-CA-92127/17201937_zpid/,33.040796,-117.07929,11468 Alcalde Ct,San Diego,CA,92127,,4,3,1980,2679
103,790000,https://www.zillow.com/homedetails/11472-Palito-Ct-San-Diego-CA-92127/17201821_zpid/,33.037259,-117.080547,11472 Palito Ct,San Diego,CA,92127,,3,2,1977,1734
104,815000,https://www.zillow.com/homedetails/11488-Azucena-Dr-San-Diego-CA-92124/16981324_zpid/,32.815196,-117.080443,11488 Azucena Dr,San Diego,CA,92124,,4,3,1981,2100
105,630000,https://www.zillow.com/homedetails/1148-Cotton-St-San-Diego-CA-92102/17079645_zpid/,32.717695,-117.094986,1148 Cotton St,San Diego,CA,92102,,4,2,1971,1597
106,749900,https://www.zillow.com/homedetails/1150-Anchorage-Ln-UNIT-314-San-Diego-CA-92106/17063151_zpid/,32.72046,-117.229132,1150 Anchorage Ln UNIT 314,San Diego,CA,92106,,2,2,1968,1658
107,1850000,https://www.zillow.com/homedetails/1150-Anchorage-Ln-UNIT-612-San-Diego-CA-92106/17063189_zpid/,32.72046,-117.229132,1150 Anchorage Ln UNIT 612,San Diego,CA,92106,,3,3,1968,2070
108,339000,https://www.zillow.com/homedetails/1150-J-St-UNIT-208-San-Diego-CA-92101/63790524_zpid/,32.709724,-117.154188,1150 J St UNIT 208,San Diego,CA,92101,,1,1,2005,735
109,399000,https://www.zillow.com/homedetails/1150-J-St-UNIT-514-San-Diego-CA-92101/63790600_zpid/,32.709724,-117.154188,1150 J St UNIT 514,San Diego,CA,92101,,1,1,2005,735
110,785000,https://www.zillow.com/homedetails/11518-Oculto-Rd-San-Diego-CA-92127/16739598_zpid/,33.02582,-117.083966,11518 Oculto Rd,San Diego,CA,92127,,3,2,1970,1401
111,1799000,https://www.zillow.com/homedetails/11533-Big-Canyon-Ln-San-Diego-CA-92131/98970051_zpid/,32.928182,-117.014242,11533 Big Canyon Ln,San Diego,CA,92131,,5,6,2012,4629
112,1800000,https://www.zillow.com/homedetails/11540-Punta-Dulcina-San-Diego-CA-92131/98970011_zpid/,32.927157,-117.016211,11540 Punta Dulcina,San Diego,CA,92131,,3,4,2014,4162
113,699000,https://www.zillow.com/homedetails/1155-Atwater-St-San-Diego-CA-92154/17170319_zpid/,32.575587,-117.099328,1155 Atwater St,San Diego,CA,92154,,4,3,1958,2092
114,7300000,https://www.zillow.com/homedetails/1160-Pine-St-Coronado-CA-92118/17072900_zpid/,32.687562,-117.190207,1160 Pine St,Coronado,CA,92118,,4,7,2013,6562
115,1215000,https://www.zillow.com/homedetails/11702-Cypress-Canyon-Rd-San-Diego-CA-92131/16826389_zpid/,32.927759,-117.074964,11702 Cypress Canyon Rd,San Diego,CA,92131,,4,4,1999,3235
116,850000,https://www.zillow.com/homedetails/11767-Windcrest-Ln-San-Diego-CA-92128/16799696_zpid/,32.971508,-117.082665,11767 Windcrest Ln,San Diego,CA,92128,,4,3,1991,2428
117,599000,https://www.zillow.com/homedetails/11915-Tivoli-Park-Row-UNIT-2-San-Diego-CA-92128/16800653_zpid/,32.976532,-117.073675,11915 Tivoli Park Row UNIT 2,San Diego,CA,92128,,3,2,1996,1341
118,724900,https://www.zillow.com/homedetails/11927-Lomica-Dr-San-Diego-CA-92128/16743744_zpid/,33.015045,-117.07243,11927 Lomica Dr,San Diego,CA,92128,Rancho Bernardo,2,2,1965,1580
119,510000,https://www.zillow.com/homedetails/11940-Cypress-Canyon-Rd-UNIT-1-San-Diego-CA-92131/16826523_zpid/,32.933593,-117.085068,11940 Cypress Canyon Rd UNIT 1,San Diego,CA,92131,,2,2,1999,973
120,649900,https://www.zillow.com/homedetails/11948-Black-Mountain-Rd-UNIT-27-San-Diego-CA-92129/16809639_zpid/,32.935733,-117.126952,11948 Black Mountain Rd UNIT 27,San Diego,CA,92129,,3,3,1992,1510
121,984500,https://www.zillow.com/homedetails/11958-Avenida-Consentido-San-Diego-CA-92128/16745729_zpid/,33.011507,-117.071999,11958 Avenida Consentido,San Diego,CA,92128,,3,2,1988,2122
122,1099900,https://www.zillow.com/homedetails/11970-Heatherwood-Hollow-Ct-San-Diego-CA-92128/16813209_zpid/,32.937089,-117.077783,11970 Heatherwood Hollow Ct,San Diego,CA,92128,,5,3,1999,2541
123,1600000,https://www.zillow.com/homedetails/1199-Pacific-Hwy-UNIT-1706-San-Diego-CA-92101/63061726_zpid/,32.717272,-117.170518,1199 Pacific Hwy UNIT 1706,San Diego,CA,92101,,2,2,2004,1944
124,695000,https://www.zillow.com/homedetails/12011-World-Trade-Dr-UNIT-3-San-Diego-CA-92128/16800230_zpid/,32.980385,-117.074339,12011 World Trade Dr UNIT 3,San Diego,CA,92128,,3,3,1995,1572
125,405000,https://www.zillow.com/homedetails/12059-Alta-Carmel-Ct-UNIT-165-San-Diego-CA-92128/65238062_zpid/,32.992528,-117.072859,12059 Alta Carmel Ct UNIT 165,San Diego,CA,92128,,2,2,2006,1036
126,535000,https://www.zillow.com/homedetails/1205-Calle-Seabass-UNIT-46-San-Diego-CA-92154/250193138_zpid/,32.572271,-117.021185,1205 Calle Seabass UNIT 46,San Diego,CA,92154,,4,4,2017,2034
127,979000,https://www.zillow.com/homedetails/1210-Bush-St-San-Diego-CA-92103/16968164_zpid/,32.747608,-117.174308,1210 Bush St,San Diego,CA,92103,,2,2,1922,1400
128,724999,https://www.zillow.com/homedetails/1210-Pine-Dr-El-Cajon-CA-92020/17029669_zpid/,32.779736,-116.981337,1210 Pine Dr,El Cajon,CA,92020,,3,3,1920,2412
129,546793,https://www.zillow.com/homedetails/12132-Royal-Birkdale-Row-UNIT-405-San-Diego-CA-92128/16796955_zpid/,33.001336,-117.071311,12132 Royal Birkdale Row UNIT 405,San Diego,CA,92128,,3,3,1987,1464
130,425000,https://www.zillow.com/homedetails/1213-Bay-Dr-F22-National-City-CA-91950/2077140524_zpid/,32.660803,-117.112513,1213 Bay Dr #F22,National City,CA,91950,,3,2,1980,1155
131,649000,https://www.zillow.com/homedetails/1213-Thalia-St-San-Diego-CA-92154/17170617_zpid/,32.574359,-117.097668,1213 Thalia St,San Diego,CA,92154,,4,3,1960,2253
132,939000,https://www.zillow.com/homedetails/12178-Ferncrest-Pl-San-Diego-CA-92128/16799680_zpid/,32.973779,-117.069518,12178 Ferncrest Pl,San Diego,CA,92128,,3,3,1994,2356
133,988000,https://www.zillow.com/homedetails/12199-Avenida-Consentido-San-Diego-CA-92128/16745708_zpid/,33.010336,-117.067769,12199 Avenida Consentido,San Diego,CA,92128,,3,3,1987,2158
134,224900,https://www.zillow.com/homedetails/121-Orange-Ave-SPACE-117-Chula-Vista-CA-91911/81775283_zpid/,32.598581,-117.056852,121 Orange Ave SPACE 117,Chula Vista,CA,91911,,3,2,2006,1392
135,189500,https://www.zillow.com/homedetails/121-Orange-Ave-SPACE-86-Chula-Vista-CA-91911/140633136_zpid/,32.598581,-117.056852,121 Orange Ave SPACE 86,Chula Vista,CA,91911,,3,2,2018,1344
136,370000,https://www.zillow.com/homedetails/12214-Rancho-Bernardo-Rd-B-San-Diego-CA-92128/16743978_zpid/,33.020196,-117.065723,12214 Rancho Bernardo Rd #B,San Diego,CA,92128,,2,2,1966,924
137,799000,https://www.zillow.com/homedetails/12277-Caminito-Mira-Del-Mar-San-Diego-CA-92130/16776507_zpid/,32.940655,-117.233349,12277 Caminito Mira Del Mar,San Diego,CA,92130,,3,3,1986,1333
138,2200000,https://www.zillow.com/homedetails/12284-Semillon-Blvd-San-Diego-CA-92131/16826795_zpid/,32.914665,-117.06755,12284 Semillon Blvd,San Diego,CA,92131,,5,6,1989,5750
139,764900,https://www.zillow.com/homedetails/12289-Bajada-Rd-San-Diego-CA-92128/16741973_zpid/,33.02984,-117.07095,12289 Bajada Rd,San Diego,CA,92128,,3,2,1980,1737
140,1995000,https://www.zillow.com/homedetails/12299-Ranch-House-Rd-San-Diego-CA-92128/16739422_zpid/,33.034177,-117.064245,12299 Ranch House Rd,San Diego,CA,92128,,3,4,1960,4199
141,599000,https://www.zillow.com/homedetails/12312-Paseo-Lucido-APT-D-San-Diego-CA-92128/16745948_zpid/,33.008423,-117.06805,12312 Paseo Lucido APT D,San Diego,CA,92128,,2,2,1985,1280
142,469000,https://www.zillow.com/homedetails/1233-22nd-St-UNIT-11-San-Diego-CA-92102/65398057_zpid/,32.718563,-117.143745,1233 22nd St UNIT 11,San Diego,CA,92102,,2,2,1986,979
143,1175000,https://www.zillow.com/homedetails/1236-25th-St-San-Diego-CA-92102/17067122_zpid/,32.718622,-117.140618,1236 25th St,San Diego,CA,92102,,3,3,1909,1814
144,550000,https://www.zillow.com/homedetails/1236-E-16th-St-National-City-CA-91950/17099256_zpid/,32.672407,-117.091004,1236 E 16th St,National City,CA,91950,,3,3,1953,1079
145,1239000,https://www.zillow.com/homedetails/12393-Conquistador-Way-San-Diego-CA-92128/16739404_zpid/,33.025165,-117.062794,12393 Conquistador Way,San Diego,CA,92128,,3,3,1970,2396
146,575000,https://www.zillow.com/homedetails/12404-Paseo-Lucido-APT-162-San-Diego-CA-92128/16746482_zpid/,33.005566,-117.06435,12404 Paseo Lucido APT 162,San Diego,CA,92128,,2,2,1985,1255
147,729500,https://www.zillow.com/homedetails/1240-India-St-UNIT-1906-San-Diego-CA-92101/2077521595_zpid/,32.718587,-117.168424,1240 India St UNIT 1906,San Diego,CA,92101,,2,3,2003,1139
148,899000,https://www.zillow.com/homedetails/12463-Bodega-Way-San-Diego-CA-92128/16739765_zpid/,33.03294,-117.06129,12463 Bodega Way,San Diego,CA,92128,San Diego,4,3,1976,2254
149,630000,https://www.zillow.com/homedetails/12468-Creekview-Dr-San-Diego-CA-92128/16811478_zpid/,32.945093,-117.090447,12468 Creekview Dr,San Diego,CA,92128,,3,3,1994,1425
150,350000,https://www.zillow.com/homedetails/12515-Oaks-North-Dr-UNIT-233-San-Diego-CA-92128/16740885_zpid/,33.032114,-117.058995,12515 Oaks North Dr UNIT 233,San Diego,CA,92128,,2,2,1977,1016
151,909900,https://www.zillow.com/homedetails/12519-Glenoak-Rd-Poway-CA-92064/16801898_zpid/,32.973433,-117.059058,12519 Glenoak Rd,Poway,CA,92064,,5,4,1959,2542
152,500000,https://www.zillow.com/homedetails/12530-Carmel-Creek-Rd-8-134-San-Diego-CA-92130/2077324491_zpid/,32.943756,-117.23139,12530 Carmel Creek Rd #8-134,San Diego,CA,92130,,2,2,1990,864
153,575000,https://www.zillow.com/homedetails/1253-15th-St-Imperial-Beach-CA-92154/17170552_zpid/,32.5737,-117.101093,1253 15th St,Imperial Beach,CA,92154,,3,2,1990,1384
