_id,ltable_id,rtable_place_id,ltable_name,ltable_address,ltable_phone,ltable_lat,ltable_long,rtable_name,rtable_address,rtable_phone,rtable_lat,rtable_long,predicted
5618,61Dbgc6PBXkIIEqhngiw8Q,ChIJ7dffsdpZ2YARL7lqaOl6eO8,haciendas mexican food,660-a el cajon blvd el cajon ca 92020,6193328007,32.7890586853027,-116.973945617676,hacienda's mexican food,660-a el cajon blvd el cajon ca 92020 usa,6193328007,32.78906199999999,-116.973968,1
5619,6rmG1SwehHtGlMMR4PBYdg,ChIJ0VMJRsdZ2YARGAwYrtbm4qI,funky fries and burgers,101 w washington ave el cajon ca 92020,6193282929,32.7874753500965,-116.962771420239,funky fries and burgers,101 w washington ave el cajon ca 92020 usa,6193282929,32.7873712,-116.9626892,1
5620,bqhbas0gBePtg74zeHs3Ww,ChIJ2Uj7BZRZ2YARlGYcGMfDvGA,eat a pita,1255 avocado ave ste 105 el cajon ca 92020,6194471500,32.77811,-116.95675,eat a pita,1255 avocado ave suite 105-107 el cajon ca 92020 usa,6194471500,32.778328,-116.956499,1
5621,yjxh0Z2Xl--snEguKQ383A,ChIJZTX0SqNZ2YARJWjhUBKkzpE,chuy's taqueria y burritos,115 w washington ave el cajon ca 92020,6194408226,32.78738733,-116.96295333,chuy's taqueria y burritos,115 w washington ave el cajon ca 92020 usa,6194408226,32.7873809,-116.96300249999999,1
5623,2m6lMtsRhhqZFPSmfa66fA,ChIJ2ZcECZRZ2YARqzjig_BsDB0,manana's,1255 avocado blvd el cajon ca 92020,6195930401,32.778367652711395,-116.956573297255,manana's mexican food,1255 avocado ave el cajon ca 92020 usa,6195930401,32.7783721,-116.95654540000001,1
5624,w2cmOJM9slvNaAtEpHCmdw,ChIJ6x5BU5RZ2YAR2VhKAfiPGFE,little caesars pizza,111 w washington ave el cajon ca 92020,6194440010,32.7874,-116.96301000000001,little caesars pizza,111 w washington ave el cajon ca 92020 usa,6194440010,32.787415,-116.96297,1
5625,X9sWms_gBjuJ7K0dtdIXsw,ChIJS111TrlZ2YARdZXRYZWM7H0,pizza hut,1255 avocado blvd ste 101 el cajon ca 92020,6194407722,32.778430300000004,-116.9565783,pizza hut,1255 avocado ave 101 el cajon ca 92020 usa,6194407722,32.778430300000004,-116.9565783,1
5626,NWsvhI3j3AVHwOdPEl5cjQ,ChIJMc1dPJRZ2YARRYodB2dwbLw,subway,1175 avocado ave ste 106 el cajon ca 92020,6194411972,32.7793993,-116.9564943,subway,1175 avocado ave 106 el cajon ca 92020 usa,6194411972,32.7793993,-116.9564943,1
5627,QeXf4VddSUAxzyry2GKWzA,ChIJ0zLcRpRZ2YARBmZw2OZ6mPU,el pollo loco,1145 avocado ave el cajon ca 92020,6195903652,32.7794532775879,-116.957489013672,el pollo loco,1145 avocado ave el cajon ca 92020 usa,6195903682,32.779456,-116.957632,1
5628,uwK4iNX19NJPsBIS9-OV7g,ChIJy7UWrpVZ2YAR3aFi6-Gf-VA,jack in the box,350 e chase ave el cajon ca 92020,6194019631,32.780657500000004,-116.958108991385,jack in the box,350 e chase ave el cajon ca 92020 usa,6194019631,32.78066739999999,-116.95810900000001,1
5630,m2egwxbH0dcishpvj7SQRw,ChIJC6fAlCxZ2YARbRdfutJAeqM,daniel's taco shop,1104 e washington ave el cajon ca 92019,6194997366,32.7880665563,-116.944132671,daniel's taco shop,1104 e washington ave el cajon ca 92019 usa,6194997366,32.7880952,-116.94428429999999,1
5632,qOXSz7HoSWGKIPswol1imA,ChIJsab1uvdZ2YAR2i-FCwwVuvA,las pinches tortas,558 jamacha rd el cajon ca 92019,6195930576,32.789202,-116.930543,las pinches tortas,558 jamacha road el cajon ca 92019 usa,6195930576,32.7891805,-116.9304682,1
5634,Xy5p5rPU9bDU2-JxYufe4A,ChIJ-wCU53JZ2YAR-bJTf_9C5AI,franco's giant pizza,574 jamacha rd el cajon ca 92019,6195795797,32.7889891,-116.929689,franco's giant pizza,574 jamacha road el cajon ca 92019 usa,6195795797,32.788976,-116.930272,1
5635,ByOkjcrfRlYM-golIW6t9g,ChIJm93OJqJZ2YAROCDO-Uyfblw,domino's pizza,1104 e washington ave el cajon ca 92019,6194442171,32.7877749,-116.9443623,domino's pizza,1104 e washington ave el cajon ca 92019 usa,6194442171,32.788072,-116.944278,1
5638,YY1utbtct83mCx59bRtgJg,ChIJzRUecHJZ2YARt04LjRM8kUI,crafted greens,745 jamacha rd el cajon ca 92019,6193284044,32.786714362491395,-116.927868970833,crafted greens,745 jamacha road el cajon ca 92019 usa,6193284044,32.7867041,-116.9271923,1
5639,SPwEhtVgAndLS-hoXTT9Qw,ChIJKas2bnJZ2YARezCI6iV8yZY,hana sushi,749 jamacha rd el cajon ca 92019,6193281583,32.7866055,-116.92778510000001,hana sushi,749 jamacha road el cajon ca 92019 usa,6193281583,32.7865974,-116.9271595,1
5640,HiB2RE8JNG5IBQssf_XKCw,ChIJxz6r9XJZ2YARljz7Vc_3pOM,outback steakhouse,722 jamacha rd el cajon ca 92019,6195884332,32.787017999999996,-116.928881,outback steakhouse,722 jamacha road el cajon ca 92019 usa,6195884332,32.786974699999995,-116.92887560000001,1
5644,IbUo_Rt4UFU0_3VTJ8ayPQ,ChIJF9Y_9nFZ2YARx2qR0ojuLmQ,cafe 88,737 jamacha rd el cajon ca 92019,6193121077,32.78688833,-116.92720333,cafe 88,near crafted greens 745 jamacha road el cajon ca 92019 usa,6193121077,32.7861457,-116.9271548,1
5646,xY_V1U1VHIRu7S5GhEZHpQ,ChIJeWiFX3JZ2YARlLaEAbc7tRw,wings empire,740 jamacha rd el cajon ca 92019,6199382235,32.78678,-116.928735,wings empire,740 jamacha road el cajon ca 92019 usa,6199382235,32.7866914,-116.92889720000001,1
